Puzzle #,h1 # of Steps,h1 # Nodes Expanded,h2 # of Steps,h2 # Nodes Expanded,h3 # of Steps,h3 # Nodes Expanded
1,34,20512656,34,33516,34,7166
2,38,52101009,38,6459,38,1741
3,36,42840157,36,4987,36,1185
4,38,518074818,38,767075,38,408026
5,38,8836631,38,3362,38,1415
6,28,681895,28,1736,28,1198
7,34,11199966,34,16870,34,5119
8,38,69138873,38,9913,38,3416
9,38,163571566,38,9098,38,4177
10,28,714174,28,2125,28,733
11,36,8020288,36,4214,36,293
12,36,7466293,36,28337,36,23005
13,30,666402,30,2867,30,1961
14,38,3813093,38,539,38,347
15,32,156031,32,2430,32,417
16,30,1220804,30,7353,30,4439
17,30,170708,30,1186,30,464
18,36,30067898,36,15111,36,5407
19,34,1402654,34,1103,34,906
20,28,282746,28,818,28,336
21,38,82708331,38,63173,38,20287
22,34,7194459,34,1395,34,958
23,36,5017553,36,3168,36,1172
24,36,6153833,36,97,36,71
25,38,226526237,38,40965,38,8251
26,36,33868857,36,5860,36,4010
27,32,94900371,32,448928,32,172117
28,34,1606269,34,1113,34,446
29,32,981429,32,1122,32,486
30,34,7973070,34,61294,34,16248
31,36,68900958,36,29425,36,1036
32,34,37049677,34,17564,34,7216
33,38,111784953,38,70801,38,22421
34,38,340559346,38,78282,38,32135
35,38,14233019,38,2217,38,1124
36,38,165773554,38,77266,38,9626
37,34,19726146,34,55385,34,10000
38,34,1798252,34,17722,34,3380
39,26,908758,26,30550,26,19421
40,32,2490398,32,1425,32,678
41,36,92695257,36,264758,36,46335
42,36,27985215,36,34549,36,6532
43,34,6411505,34,8539,34,4338
44,24,40482,24,380,24,248
45,34,8603026,34,3723,34,1350
46,38,111505158,38,1647,38,545
47,38,199417252,38,27455,38,14943
48,36,757844,36,812,36,549
49,38,80709689,38,114905,38,33364
50,38,21677248,38,11949,38,5570
51,30,1394052,30,2858,30,709
52,38,28697526,38,3713,38,2305
53,36,31390204,36,14475,36,4039
54,32,1245283,32,502,32,75
55,36,38641286,36,5761,36,3983
56,38,20243923,38,2751,38,1961
57,28,40630,28,241,28,178
58,34,2630528,34,488,34,451
59,34,1479243,34,1500,34,1427
60,28,86645,28,3351,28,1748
61,30,1040426,30,4021,30,1335
62,34,41421596,34,18618,34,11951
63,30,363899,30,1108,30,1015
64,32,3117290,32,5403,32,3328
65,36,2921530,36,1129,36,714
66,32,6884617,32,72394,32,23946
67,36,34178726,36,13935,36,5841
68,38,238853123,38,267768,38,110325
69,34,3609425,34,1948,34,849
70,38,33156066,38,7851,38,2049
71,22,1065,22,80,22,73
72,34,3554934,34,1604,34,876
73,34,23977191,34,21451,34,7225
74,26,20515,26,145,26,91
75,26,26024,26,62,26,62
76,38,47565100,38,1814,38,659
77,36,10153792,36,45336,36,12372
78,36,73122978,36,22814,36,15388
79,38,59759332,38,45354,38,8145
80,36,57892790,36,46677,36,6212
81,36,7700779,36,29241,36,3099
82,34,7508877,34,18678,34,9580
83,34,45822040,34,163450,34,25407
84,36,10412999,36,8134,36,2423
85,36,10760905,36,1538,36,582
86,32,450823,32,401,32,67
87,36,8311101,36,1463,36,730
88,34,14762170,34,6431,34,2214
89,36,20117124,36,8163,36,436
90,34,4387385,34,9970,34,2896
91,20,2195,20,228,20,220
92,30,2803260,30,24254,30,3358
93,28,321365,28,1710,28,1309
94,28,206335,28,3569,28,2180
95,28,303702,28,2112,28,602
96,34,4668763,34,11478,34,8713
97,28,48848,28,85,28,31
98,36,206268200,36,272165,36,26251
99,24,26861,24,87,24,87
100,38,19787861,38,5869,38,1028
